dataset,q_id,method,transformation_type,original_query,variation,valid,follow_category
antique,1016750,WordSwapNeighboringCharacterSwap,mispelling,how do i erase all the contacts in my lg 6100 verizon phone at once,how do i erase all the contacts in my gl 6100 verizon phone at once,True,True
antique,103298,WordSwapNeighboringCharacterSwap,mispelling,why precisely is foreign food considered ethnic,why precisely is foreign food considered ehtnic,True,True
antique,1034050,WordSwapNeighboringCharacterSwap,mispelling,why does the earth keep getting hotter and hotter every year,why does the earth kepe getting hotter and hotter every year,True,True
antique,1037897,WordSwapNeighboringCharacterSwap,mispelling,why doesn t salt lake city have its own sub category,why doesn t salt lkae city have its own sub category,True,True
antique,1051346,WordSwapNeighboringCharacterSwap,mispelling,why is it when people cross the street they do not look to see if traffic is coming,why is it when people cross the strete they do not look to see if traffic is coming,True,True
antique,1097878,WordSwapNeighboringCharacterSwap,mispelling,how to become smart,how to become smatr,True,True
antique,1107012,WordSwapNeighboringCharacterSwap,mispelling,what does north by north west mean,what does north by north west mena,True,True
antique,1144768,WordSwapNeighboringCharacterSwap,mispelling,what is dark energy,what is dark enregy,True,True
antique,114758,WordSwapNeighboringCharacterSwap,mispelling,why does christianity teach,why does chritsianity teach,True,True
antique,1158088,WordSwapNeighboringCharacterSwap,mispelling,why my neighbor s dog doesn t bark,why my neighbor s dog doesn t abrk,True,True
antique,11706,WordSwapNeighboringCharacterSwap,mispelling,why not legalize  and tax prostitution,why not legalzie  and tax prostitution,True,True
antique,1184520,WordSwapNeighboringCharacterSwap,mispelling,why be an  a theist,why be an  a theits,True,True
antique,1188438,WordSwapNeighboringCharacterSwap,mispelling,why is there a fence runiing on the sides of the freeway in the middle of the desert up and over rough terrain,why is there a fence runiing on the sdies of the freeway in the middle of the deesrt up and over rough terrain,True,True
antique,1191621,WordSwapNeighboringCharacterSwap,mispelling,how can some one so negative go to hevan  if there is one,how can some one so negative go to hevna  if there is one,True,True
antique,1211877,WordSwapNeighboringCharacterSwap,mispelling,how does playing pool deal with science,how does playing pool deal with scinece,True,True
antique,1246269,WordSwapNeighboringCharacterSwap,mispelling,how does a pardon work,how does a aprdon work,True,True
antique,1251077,WordSwapNeighboringCharacterSwap,mispelling,what is the term  take hight road  mean,what is the temr  take hight road  mean,True,True
antique,126182,WordSwapNeighboringCharacterSwap,mispelling,how can i find out if i have a warrant without paying a fee,how can i fidn out if i have a warrant without paying a fee,True,True
antique,1289770,WordSwapNeighboringCharacterSwap,mispelling,what is the definition of answer,what is the definition of asnwer,True,True
antique,1295284,WordSwapNeighboringCharacterSwap,mispelling,how can we solve a problem,how can we solve a problme,True,True
antique,1321784,WordSwapNeighboringCharacterSwap,mispelling,how do blackberry s recognize that they are in their holster,how do blackberry s recognzie that they are in their holster,True,True
antique,1341602,WordSwapNeighboringCharacterSwap,mispelling,what are some common causes of my cat s eye to be watery and drip clear fluid,what are some common causes of my act s eye to be watery and drip clear fluid,True,True
antique,1398838,WordSwapNeighboringCharacterSwap,mispelling,what does  crunching numbers  mean,what does  crunching numebrs  mean,True,True
antique,1423289,WordSwapNeighboringCharacterSwap,mispelling,why does my nextel turn off by itself,why does my nextel trun off by itself,True,True
antique,1440810,WordSwapNeighboringCharacterSwap,mispelling,what is the difference between hotmail and hotmale,what is the difference between homtail and hotmale,True,True
antique,1443637,WordSwapNeighboringCharacterSwap,mispelling,how do you find info about a house s history that isn t  historical,how do you find info about a houses  history that isn t  historical,True,True
antique,1450678,WordSwapNeighboringCharacterSwap,mispelling,why is my wang so enormous,why is my wang so eonrmous,True,True
antique,1458676,WordSwapNeighboringCharacterSwap,mispelling,why do criminals go back to the scene of the crime,why do criminals go back to the scene of the crmie,True,True
antique,1467322,WordSwapNeighboringCharacterSwap,mispelling,why do i keep coming on here asking stupid questions that dont really matter pray tell,why do i keep coimng on here asking stupid questions that dont really matter pray tell,True,True
antique,1471877,WordSwapNeighboringCharacterSwap,mispelling,why metals prices are getting all time high,why metals prices are gettnig all time high,True,True
antique,1485589,WordSwapNeighboringCharacterSwap,mispelling,how sun rises,how usn rises,True,True
