dataset,q_id,method,transformation_type,original_query,variation,valid,follow_category
msmarco,1037798,WordSwapNeighboringCharacterSwap,mispelling,who is robert gray,who is robret gray,True,True
msmarco,104861,WordSwapNeighboringCharacterSwap,mispelling,cost of interior concrete flooring,cost of interior concrete floroing,True,True
msmarco,1063750,WordSwapNeighboringCharacterSwap,mispelling,why did the us volunterilay enter ww1,why did the su volunterilay enter ww1,True,True
msmarco,1103812,WordSwapNeighboringCharacterSwap,mispelling,who formed the commonwealth of independent states,who formed the commonweatlh of independent states,True,True
msmarco,1106007,WordSwapNeighboringCharacterSwap,mispelling,define visceral,define vsiceral,True,True
msmarco,1110199,WordSwapNeighboringCharacterSwap,mispelling,what is wifi vs bluetooth,what is wifi sv bluetooth,True,True
msmarco,1112341,WordSwapNeighboringCharacterSwap,mispelling,what is the daily life of thai people,what is the daily life of thai poeple,True,True
msmarco,1113437,WordSwapNeighboringCharacterSwap,mispelling,what is physical description of spruce,what is phsyical description of spruce,True,True
msmarco,1114646,WordSwapNeighboringCharacterSwap,mispelling,what is famvir prescribed for,what is famvir rpescribed for,True,True
msmarco,1114819,WordSwapNeighboringCharacterSwap,mispelling,what is durable medical equipment consist of,what is durable medical equipmetn consist of,True,True
msmarco,1115776,WordSwapNeighboringCharacterSwap,mispelling,what is an aml surveillance analyst,what is an aml surviellance analyst,True,True
msmarco,1117099,WordSwapNeighboringCharacterSwap,mispelling,what is a active margin,what is a acitve margin,True,True
msmarco,1121402,WordSwapNeighboringCharacterSwap,mispelling,what can contour plowing reduce,what can contour lpowing reduce,True,True
msmarco,1121709,WordSwapNeighboringCharacterSwap,mispelling,what are the three percenters,what are the three percenetrs,True,True
msmarco,1124210,WordSwapNeighboringCharacterSwap,mispelling,tracheids are part of,tracheids are prat of,True,True
msmarco,1129237,WordSwapNeighboringCharacterSwap,mispelling,hydrogen is a liquid below what temperature,hdyrogen is a liquid below what temperature,True,True
msmarco,1133167,WordSwapNeighboringCharacterSwap,mispelling,how is the weather in jamaica,how is the weathre in jamaica,True,True
msmarco,130510,WordSwapNeighboringCharacterSwap,mispelling,definition declaratory judgment,definition declartaory judgment,True,True
msmarco,131843,WordSwapNeighboringCharacterSwap,mispelling,definition of a sigmet,definition of a sigmte,True,True
msmarco,146187,WordSwapNeighboringCharacterSwap,mispelling,difference between a mcdouble and a double cheeseburger,difference between a mcdobule and a double cheeseburger,True,True
msmarco,148538,WordSwapNeighboringCharacterSwap,mispelling,difference between rn and bsn,diffreence between rn and bsn,True,True
msmarco,156493,WordSwapNeighboringCharacterSwap,mispelling,do goldfish grow,do ogldfish grow,True,True
msmarco,168216,WordSwapNeighboringCharacterSwap,mispelling,does legionella pneumophila cause pneumonia,does legioenlla pneumophila cause pneumonia,True,True
msmarco,182539,WordSwapNeighboringCharacterSwap,mispelling,example of monotonic function,example of monotonic functoin,True,True
msmarco,183378,WordSwapNeighboringCharacterSwap,mispelling,exons definition biology,exons defniition biology,True,True
msmarco,19335,WordSwapNeighboringCharacterSwap,mispelling,anthropological definition of environment,anthropological definitino of environment,True,True
msmarco,207786,WordSwapNeighboringCharacterSwap,mispelling,how are some sharks warm blooded,how are some sharks warm bloodde,True,True
msmarco,264014,WordSwapNeighboringCharacterSwap,mispelling,how long is life cycle of flea,how lnog is life cycle of flea,True,True
msmarco,359349,WordSwapNeighboringCharacterSwap,mispelling,how to find the midsegment of a trapezoid,how to find the midesgment of a trapezoid,True,True
msmarco,405717,WordSwapNeighboringCharacterSwap,mispelling,is cdg airport in main paris,is cdg airport in main parsi,True,True
msmarco,443396,WordSwapNeighboringCharacterSwap,mispelling,lps laws definition,lps laws defiintion,True,True
msmarco,451602,WordSwapNeighboringCharacterSwap,mispelling,medicare s definition of mechanical ventilation,medicare s definition of mechanical vetnilation,True,True
msmarco,47923,WordSwapNeighboringCharacterSwap,mispelling,axon terminals or synaptic knob definition,axon terminlas or synaptic knob definition,True,True
msmarco,489204,WordSwapNeighboringCharacterSwap,mispelling,right pelvic pain causes,right pelvic pani causes,True,True
msmarco,490595,WordSwapNeighboringCharacterSwap,mispelling,rsa definition key,rsa dfeinition key,True,True
msmarco,527433,WordSwapNeighboringCharacterSwap,mispelling,types of dysarthria from cerebral palsy,ytpes of dysarthria from cerebral palsy,True,True
msmarco,573724,WordSwapNeighboringCharacterSwap,mispelling,what are the social determinants of health,what are the social determinants of heatlh,True,True
msmarco,833860,WordSwapNeighboringCharacterSwap,mispelling,what is the most popular food in switzerland,what is the most popular fodo in switzerland,True,True
msmarco,855410,WordSwapNeighboringCharacterSwap,mispelling,what is theraderm used for,what is theraderm uesd for,True,True
msmarco,87181,WordSwapNeighboringCharacterSwap,mispelling,causes of left ventricular hypertrophy,causes of left ventricualr hypertrophy,True,True
msmarco,87452,WordSwapNeighboringCharacterSwap,mispelling,causes of military suicide,cuases of military suicide,True,True
msmarco,915593,WordSwapNeighboringCharacterSwap,mispelling,what types of food can you cook sous vide,what types of fodo can you cook sous vide,True,True
msmarco,962179,WordSwapNeighboringCharacterSwap,mispelling,when was the salvation army founded,when was the salvaiton army founded,True,True
msmarco,1037798,WordSwapQWERTY,mispelling,who is robert gray,who is robert ggay,True,True
msmarco,104861,WordSwapQWERTY,mispelling,cost of interior concrete flooring,cost of interior concretf flooring,True,True
msmarco,1063750,WordSwapQWERTY,mispelling,why did the us volunterilay enter ww1,why did the us volunterilay enter we1,True,True
msmarco,1103812,WordSwapQWERTY,mispelling,who formed the commonwealth of independent states,who formed the commonwealth of independent ztates,True,True
msmarco,1106007,WordSwapQWERTY,mispelling,define visceral,define visxeral,True,True
msmarco,1110199,WordSwapQWERTY,mispelling,what is wifi vs bluetooth,what is wigi vs bluetooth,True,True
msmarco,1112341,WordSwapQWERTY,mispelling,what is the daily life of thai people,what is the daily life of thai oeople,True,True
msmarco,1113437,WordSwapQWERTY,mispelling,what is physical description of spruce,what is physical description of sptuce,True,True
msmarco,1114646,WordSwapQWERTY,mispelling,what is famvir prescribed for,what is famfir prescribed for,True,True
msmarco,1114819,WordSwapQWERTY,mispelling,what is durable medical equipment consist of,what is durable medical equipment xonsist of,True,True
msmarco,1115776,WordSwapQWERTY,mispelling,what is an aml surveillance analyst,what is an sml surveillance analyst,True,True
msmarco,1117099,WordSwapQWERTY,mispelling,what is a active margin,what is a active nargin,True,True
msmarco,1121402,WordSwapQWERTY,mispelling,what can contour plowing reduce,what can contoue plowing reduce,True,True
msmarco,1121709,WordSwapQWERTY,mispelling,what are the three percenters,what are the theee percenters,True,True
msmarco,1124210,WordSwapQWERTY,mispelling,tracheids are part of,gracheids are part of,True,True
msmarco,1129237,WordSwapQWERTY,mispelling,hydrogen is a liquid below what temperature,hydrogen is a liquid below what tfmperature,True,True
msmarco,1133167,WordSwapQWERTY,mispelling,how is the weather in jamaica,how is the weafher in jamaica,True,True
msmarco,130510,WordSwapQWERTY,mispelling,definition declaratory judgment,fefinition declaratory judgment,True,True
msmarco,131843,WordSwapQWERTY,mispelling,definition of a sigmet,definitkon of a sigmet,True,True
msmarco,146187,WordSwapQWERTY,mispelling,difference between a mcdouble and a double cheeseburger,difference between a mcdouble and a double cheeeeburger,True,True
