dataset,q_id,method,transformation_type,original_query,variation,valid,follow_category
antique,1471877,summarization_with_t5-base_from_description_to_title,naturality,why metals prices are getting all time high,metals prices,TRUE,TRUE
antique,1485589,summarization_with_t5-base_from_description_to_title,naturality,how sun rises,sun rises,TRUE,TRUE
antique,1495234,summarization_with_t5-base_from_description_to_title,naturality,how do you use  incognito  in a sentence,incognito sentence,TRUE,TRUE
antique,1512776,summarization_with_t5-base_from_description_to_title,naturality,why can t i post to a finance message board,finance message board,FALSE,TRUE
antique,1514356,summarization_with_t5-base_from_description_to_title,naturality,why am i so sleepy even though i had a goodnights sleep,why am i so sleepy,TRUE,TRUE
antique,1536937,summarization_with_t5-base_from_description_to_title,naturality,why is there chinese chartacters but then you can spell them out in english i e    wei  ni how ma  vs the,chinese chartacters,TRUE,TRUE
antique,1582044,summarization_with_t5-base_from_description_to_title,naturality,how do tarot cards work,tarot cards,TRUE,TRUE
antique,1583099,summarization_with_t5-base_from_description_to_title,naturality,why u s is trying 2 help israel  so what about palastene israel has more weapons than palastene,israel u s,TRUE,TRUE
antique,1607303,summarization_with_t5-base_from_description_to_title,naturality,how does a single parent with four teenagers get rich,single parent with four teenagers,FALSE,TRUE
antique,1607924,summarization_with_t5-base_from_description_to_title,naturality,how does the earth go,earth goes,TRUE,TRUE
antique,1639607,summarization_with_t5-base_from_description_to_title,naturality,what is a diruetic,diruetic,TRUE,TRUE
antique,1647624,summarization_with_t5-base_from_description_to_title,naturality,why do american s say eggsit,eggsit,TRUE,TRUE
antique,1708787,summarization_with_t5-base_from_description_to_title,naturality,how to loose wait without exercise,wait without exercise,FALSE,TRUE
antique,1727343,summarization_with_t5-base_from_description_to_title,naturality,why do people have two nostrils,nostrils,TRUE,TRUE
antique,1727879,summarization_with_t5-base_from_description_to_title,naturality,why is organic all natural food  more expensive,organic food cost,TRUE,TRUE
antique,17665,summarization_with_t5-base_from_description_to_title,naturality,how do i get rid of a bird s nest   my kichen window,bird nests,FALSE,TRUE
antique,1881436,summarization_with_t5-base_from_description_to_title,naturality,how do motorcycle remains upright and stable by gyroscopic forces in detail    pls,gyroscopic forces on,TRUE,TRUE
