id,UQV story,query 1,query 2,Generalization/Specialization,Aspect Change,Paraphrasing,Naturality,Word ordering,"Generalization/Specification: specializing or generalizing within the provided backstory (information need)
Aspect change: moves to/from different aspects of the same information need
Paraphrasing: changes one (synonym replacement) or most of the words (paraphrasing) but mantains the same meaning.
Naturality: moves from a query that is kewyord based to a question based query and vice versa.
Word order: changes the order of some words."
1,UQV100.087,carotid cavernous fistula treatment,treatment carotid cavernous fistula,FALSE,FALSE,FALSE,FALSE,TRUE,
2,UQV100.071,halloween middle-school-aged children,the best halloween activities for children,TRUE,FALSE,FALSE,FALSE,FALSE,
3,UQV100.053,abscess treatment,toothache remedies,TRUE,FALSE,FALSE,FALSE,FALSE,
4,UQV100.023,healthy food pyramid diet,usda food pyramid 2015,TRUE,FALSE,FALSE,FALSE,FALSE,
5,UQV100.035,licenses for ham radio operating,ham license classes,FALSE,TRUE,FALSE,FALSE,FALSE,
6,UQV100.071,halloween activities for middle-school children,the best halloween activities for children,TRUE,FALSE,FALSE,FALSE,FALSE,
7,UQV100.043,what does the writing on the afghan flag mean,afghanistan national flag meaning,FALSE,FALSE,FALSE,TRUE,FALSE,
8,UQV100.011,what it is best holiday,madagascar is best known for,FALSE,TRUE,FALSE,FALSE,FALSE,
9,UQV100.037,why does anxiety cause a lump in my throat,how it is that anxiety can cause a lump in your throat,FALSE,FALSE,TRUE,FALSE,FALSE,
10,UQV100.053,treatment for jaw pain,treatments available for abscess,TRUE,TRUE,FALSE,FALSE,FALSE,
11,UQV100.040,what were all the presidents middle names,middle name of us presidents,FALSE,FALSE,FALSE,TRUE,FALSE,
12,UQV100.076,cultural impact of african music in north america,all about african american music,TRUE,FALSE,FALSE,FALSE,FALSE,
13,UQV100.021,results of 2008 presidential race,the presidential race in 2008,TRUE,FALSE,FALSE,FALSE,FALSE,
14,UQV100.046,how many battles during the american civil war was fought in south carolina,number of battles fought in south carolina,TRUE,FALSE,FALSE,FALSE,FALSE,
15,UQV100.068,benefits of running,jogging,TRUE,FALSE,TRUE,FALSE,FALSE,
16,UQV100.026,visiting traverse city,traverse city tripadvisor,TRUE,FALSE,FALSE,FALSE,FALSE,
17,UQV100.009,career in surveying education,education required for land surveying,FALSE,FALSE,TRUE,FALSE,FALSE,
18,UQV100.027,i will survive lyrice,i will survive lyrics youtube,TRUE,FALSE,FALSE,FALSE,FALSE,
19,UQV100.080,how to see internet browsing history	 the websites that have been previously visited,how to see my browsing history,FALSE,FALSE,TRUE,FALSE,FALSE,
20,UQV100.100,how to calculate mean number,what's the number of clusters,FALSE,TRUE,FALSE,FALSE,FALSE,
21,UQV100.061,home remedies for instant relief of a sore throat,what are the causes of coughing,FALSE,TRUE,FALSE,FALSE,FALSE,
22,UQV100.095,how to windsor knot,windsor knot tutorials,FALSE,FALSE,TRUE,FALSE,FALSE,
23,UQV100.080,how to find my internet browsing history,my browsing history,FALSE,FALSE,TRUE,FALSE,FALSE,
24,UQV100.046,number of battles in south carolina during civil war,american civil war,TRUE,FALSE,FALSE,FALSE,FALSE,
25,UQV100.093,evidence of learning for social media sites,facebook social networking educational benefits,TRUE,FALSE,TRUE,FALSE,FALSE,
201,UQV100.006,wind power advantages,wind farm pros and cons on your property,FALSE,TRUE,FALSE,FALSE,FALSE,
202,UQV100.007,benign prostatic hyperplasia and treatment,what is bph,FALSE,TRUE,FALSE,FALSE,FALSE,
203,UQV100.017,earth day inspired activities,earth day school activities,TRUE,FALSE,FALSE,FALSE,FALSE,
204,UQV100.049,job and education requirements for an occupational therapist,how to be occupational therapist,FALSE,FALSE,TRUE,FALSE,FALSE,
205,UQV100.090,norway spruce tree information,norway spruce identification information,TRUE,FALSE,FALSE,FALSE,FALSE,
206,UQV100.052,orcas island surrounding history,history of orcas island         washington,FALSE,FALSE,TRUE,FALSE,FALSE,
207,UQV100.007,treatment for bph,bhp advice,FALSE,FALSE,TRUE,FALSE,FALSE,
208,UQV100.018,solar power water fountain,types of solar powered bird bath,TRUE,FALSE,FALSE,FALSE,FALSE,
209,UQV100.084,more mushroom wild places,morel mushrooms hunting,FALSE,FALSE,TRUE,FALSE,FALSE,
210,UQV100.018,bird solar-powered variants,solar powered bird bath org water fountains,TRUE,FALSE,FALSE,FALSE,FALSE,
211,UQV100.005,average charitable donations,average us citizen charity donations,TRUE,FALSE,FALSE,FALSE,FALSE,
212,UQV100.057,holes louis sachar summary age appropriate,holes by louis sachar book summary,TRUE,FALSE,FALSE,FALSE,FALSE,
213,UQV100.042,what is a good substitute in a recipe for cannellini beans,what can cannellini beans be substituted by,FALSE,FALSE,TRUE,FALSE,FALSE,
214,UQV100.047,who was the person that rain man was based on,rain man movie was based on who in real life,FALSE,FALSE,TRUE,FALSE,FALSE,
215,UQV100.009,surveyor training and qualifications,land surveying education career,FALSE,FALSE,TRUE,FALSE,FALSE,
216,UQV100.030,biggest dog,what dog breed is the largest,FALSE,FALSE,FALSE,TRUE,FALSE,
217,UQV100.041,wiki meaning,what is wiki mean,FALSE,FALSE,FALSE,TRUE,FALSE,
218,UQV100.051,what kind of spider would you find gardening that would bite you,images of spiders,TRUE,FALSE,FALSE,TRUE,FALSE,
219,UQV100.072,what do my dreams mean,dreams,TRUE,FALSE,FALSE,TRUE,FALSE,
220,UQV100.080,how do i view my browser history on chrome,how do you see history in websites,TRUE,FALSE,TRUE,FALSE,FALSE,
221,UQV100.009,training to be a land surveyor,survey education,FALSE,FALSE,TRUE,FALSE,FALSE,
222,UQV100.091,hiking trails sangre de cristo	 new mexico,sangre de cristo mountain region hiking,FALSE,FALSE,TRUE,FALSE,FALSE,
223,UQV100.078,lyrics for mr. rogers' neighborhood,lyrics of mister rogers neighborhood,FALSE,FALSE,TRUE,FALSE,FALSE,
224,UQV100.051,spider bites,native spider bite,TRUE,FALSE,FALSE,FALSE,FALSE,
225,UQV100.063,the theory of evolution,theory of evolution evidence	 data,TRUE,FALSE,FALSE,FALSE,FALSE,
226,UQV100.043,what is written on the national flag,united states flag writing,FALSE,FALSE,FALSE,TRUE,FALSE,
227,UQV100.057,summary for holes by louis sachar,holes louis sachar book summary,FALSE,FALSE,FALSE,FALSE,TRUE,
228,UQV100.009,land surveyor qualifications needed,land surveyor qualifications,FALSE,FALSE,FALSE,TRUE,FALSE,
229,UQV100.084,morel mushroom wild where to find,best places to forage morel mushrooms,FALSE,FALSE,TRUE,FALSE,FALSE,
230,UQV100.072,strange dreams and what it means,interpreting dreams,FALSE,FALSE,TRUE,FALSE,FALSE,
231,UQV100.077,bewitched cast list,imdb,TRUE,FALSE,FALSE,FALSE,FALSE,
232,UQV100.045,restaurants on roosevelt island new york,dining options roosevelt island,FALSE,FALSE,TRUE,FALSE,FALSE,
233,UQV100.094,flower plants historical,paleontology flowers,FALSE,FALSE,TRUE,FALSE,FALSE,
234,UQV100.046,civil war number of battles in south carolina,how many battles were fought in south carolina american civil war,FALSE,FALSE,FALSE,TRUE,FALSE,
235,UQV100.037,lump in throat feeling cause,how does anxiety cause a lump in the throat,FALSE,FALSE,FALSE,TRUE,FALSE,
236,UQV100.062,baldness cures,treatments for bald spot,FALSE,FALSE,TRUE,FALSE,FALSE,
237,UQV100.062,bad spot cures,bald spot treatments cures,FALSE,FALSE,TRUE,FALSE,FALSE,
238,UQV100.048,egg shelf life,how long do free range eggs stay fresh for,FALSE,FALSE,FALSE,TRUE,FALSE,
239,UQV100.098,jehovah witness health beliefs,jehovah's witness medical beliefs,FALSE,FALSE,TRUE,FALSE,FALSE,
240,UQV100.045,roosevelt island restaurants,restaurants in roosevelt island,FALSE,FALSE,FALSE,FALSE,TRUE,
241,UQV100.077,bewitched tv show imdb,bewitched 1970s cast imdb,TRUE,FALSE,FALSE,FALSE,FALSE,
242,UQV100.033,pregnancy and hair dye,hair dye options pregnant,FALSE,FALSE,TRUE,FALSE,FALSE,
243,UQV100.075,bombing,final results of the investigation into the bombing of the uss cole,TRUE,FALSE,FALSE,TRUE,FALSE,
244,UQV100.069,job in marshall county	 west virginia school houses,good schools in marshall county	 west virginia,FALSE,TRUE,FALSE,FALSE,FALSE,
245,UQV100.046,battles were fought in the state,all about american civil war,TRUE,FALSE,FALSE,FALSE,FALSE,
246,UQV100.064,which native tribes are from alabama,native americans alabama,FALSE,FALSE,FALSE,TRUE,FALSE,
247,UQV100.047,rain man dustin hoffman movie,true story based on rain man,FALSE,TRUE,FALSE,FALSE,FALSE,
248,UQV100.071,halloween activities children,activities for halloween,TRUE,FALSE,FALSE,FALSE,FALSE,
249,UQV100.040,middle names of all u.s. presidents,u.s. presidents middle names,FALSE,FALSE,FALSE,FALSE,TRUE,
250,UQV100.096,old battery recycling,how to dispose of a car battery,FALSE,TRUE,FALSE,FALSE,FALSE,
251,UQV100.009,what type of education do i need to be a land surveyor,educational requirements for being a land surveyor,FALSE,FALSE,FALSE,TRUE,FALSE,
252,UQV100.055,teddy bear worth,steiff teddy bear user reviews,FALSE,TRUE,FALSE,FALSE,FALSE,
253,UQV100.012,how to set up a home theatre,home theater design,FALSE,TRUE,FALSE,FALSE,FALSE,
254,UQV100.051,what types of spiders can bite you while gardening,spiders which bite,TRUE,FALSE,FALSE,FALSE,FALSE,
255,UQV100.049,are there requirements for becoming a occupational therapists,requirements to become a occupational therapists,FALSE,FALSE,FALSE,TRUE,FALSE,
256,UQV100.086,what drugs are commonly used to treat the different stages of this mental illness,drugs to treat schizophrenia,FALSE,FALSE,TRUE,FALSE,FALSE,
